SavignaclesÉglisesSarliacsurlIsle,1,Un,homé,n'ovio,,qué,dous,fils,,Lou,,pu,jôouné,dissé,,ou,soun,paï,Ey,,temps,qué,,you,sio,,moun,méïtré,,,,è,,què,you,ayè,,,dé,l'erzent,,,Fòou,què,you,,peussè,m'en,ona,,è,què,you,véjè,,dôou,poys,,Pertoza-,votré,bé,è,douna-,mé,çou,qué,you,,dévè,ovéï,-,O,,moun,fils,,dissé,lou,paï,coumo,tu,voudras,,,Tu,sé,,,un,meychen,,,,,,è,tu,,siras,puni,,Puis,,,drubon,,,tun,tiroir,,,éou,pertozè,,soun,bé,è,,n'en,foguè,douas,pourtious,,égolas,,,
SavignaclesÉglisesLeChange,1,Un,aumè,n'ovio,,què,dou,fich,,Lou,,pu,zoönè,dichè,,o,choun,paï,Èï,,tem,què,,you,chio,,moun,mèïtrè,,,,è,,què,you,ayo,,,dè,l'arzen,,,Foöu,què,you,,peuço,mè,nona,,è,què,you,vézo,,doöu,poÿ,,Partoza,vautrè,bè,è,douna-,mè,cho,què,you,,dévè,oyèï,-,Au,,moun,fich,,dichè,lou,paï,coumo,tu,voudra,,,Tu,ché,,,un,méïcen,,,,,,è,tu,,chira,puni,,Pui,,,drubon,,,un,tiroir,,,éöu,partozè,,choun,bè,è,,n'en,foguè,doua,pourchiöu,,éïgola,,,
SavignaclesÉglisesMayac,1,Ün,homè,n'oyio,mâ,,doû,fir,,Lou,,pu,zoounè,dichè,,o,choun,paï,Eï,,tèn,què,,,chio,,,meïtrè,dè you,,,è,,qu',,âyo,,,dè,l'arzèn,,,Foou,què,,,pèço,m'èn,ona,,è,què,,vézo,,doou,poyî,,Partoza,votrè,bè,è,douna,mè,cho,què,n'èn,,dévè,oyieï,,Obè,,moun,drôlè,coumo vourâ,dichè,lou,paï,,,,,,,Ché,,,ün,maloounétè,,,,,,è,,n'èn,chirâ,puni,,Oléïdoun,,,drubi,,,uno,tiretto,,,,partozè,,choun,arzèn,è,,n'en,fogué,douâ,pâr,,poriérâ,,,
ExcideuilSaintJorylasBloux,1,In,hommé,n'aïe,,qué,dou,fis,,Lou,,pu,juiné,dit,,à,soum,paeix,Aeix,,tin,qué,,you,sazo,,mon,meixtré,,,,et,,qu',,aïe,,,de,l'arzin,,,faou,qué,aïe,,poudé,min,alla,,et,qué,aïé,vige,,dou,païe,,Partaza,votreix,bé,et,douna,meix,so,qué,deix,,dévi,aneix,,O,,mon,fi,,dit,son,paeix,coume,tu,voudras,,,tu,sais,,,in,meissant,,,,,,et,tu,,seras,puni,,Pouïs,,,dourbant,,,la,tiretto,,naueix,,partaza,,son,bé,et,,nin,fagué,doua,pourtious,,pariéiros,,,
ExcideuilSaintMartialdAlbarede,1,Un,homé,n'ovio,ma,,dou,fils,,Lou,,pu,tzoïné,dissé,,o,soun,paï,Eï,,tén,qué,,you,sio,,moun,meïtré,,,,et,,qué,,ayi,,,dé,l'arzzén,,,Foou,qué,,,pezzi,m'en,ona,,et,qué,,vézzi,,déou,poyi,,Portozza,votré,bé,et,douna-,mé,ço,qué,,,dévi,oyéï,-,O,,moun,fils,,dissé,lou,paï,coumo,tu,voudra,,,Sé,,,,un,meïzzon,,,,,,et,,,sira,puni,,Opré co,,,drubi,,,un,tiroir,,,,portozzé,,soun,bé,et,,n'én,fogué,doi,pourciou,,poriéra,,,
ExcideuilPreyssacdExcideuil,1,Un',hômè,n'ovio,nouma,,dous,firs,,Lou,,pû,zoounè,dichè,,o,choun,paï,Eï,,tén,què,,diou,chaïè,,moun,mèïtrè,,,,et,,què,diou,aïè,,,dè,l'arzén,,Oou,foou,què,diou,,peussè,m'én,onâ,,et,què,diou,véjè,,doou,poï,,Partozâ,vôtrè,bè,et,dounâ-,mè,cho,què,diou,,dèvi,ovèï,,Oui,,moun,fir,,dichè,lou,paï,coumo,tu,voudrâ,,,Tu,ché,,,ün,méïsson,,,,,,et,tu,,chirâ,puni,,Oprès quo,,,drubont,,,ün,tiroir,,,éou,partozè,,choun,bè,et,,n'én,foguè,douas,pourchéous,,èïgolas,,,
ExcideuilSaintGermaindesPres,1,Ün,homé,n'ovio,,qué,doux,fils,,Lou,,pu,jonei,dissé,,o,soun,païs,Vo ei,,teimps,qué,,diou,sio,,moun,meytré,,,,et,,qué,diou,adié,,,dei,l'argein,,Vex,fos,qué,diou,,peussé,main,ona,,et,qué,diou,vaijé,,daus,poys,,Partogea,vautrai,beis,et,dounas-,meis,ço,qué,diou,,daivès,oveis,,Os,,moun,drôlé,,dissé,lou,païs,coumo,tu,voudras,,,Tu,sé,,,un,maichon,,,,,,et,tu,,sira,puni,,Apréquo,,,drubon,,,un,tiroir,,vex,,partogei,,soun,beis,et,,nain,foguei,douas,pourcis,,eigolas,,,
ExcideuilSaintMesmin,1,Un,homé,n'avio,noumas,,dous,fils,,Lou,,pus,zooüné,disset,,à,soun,paï,Eï,,teimps,qué,,you,sios,,moun,meïtré,,,et qu'ayé dé l'arzein Faoû qué you peusso m'ein ana et qué you vejo dooü païs Eï teimps qué you sios moun meïtré,et,,qu',,ayé,,,dé,l'arzein,,,Faoû,qué,you,,peusso,m'ein,ana,,et,qué,you,véjo,,dooü,païs,,Partazas,votré,bé,et,dounas-,mé,sa,qué,you,,devis,aveï,-,Oui,,moun,fils,,dissut,lou,paï,coumo,tu,voudras,,,Tu,sés,,,un,meïssan,,,,,,et,su,,siras,puni,,après,,,drubant,,,uno,tiréto,,,eü,partazé,,soun,bé,et,,n'ein,faguet,duouas,poursiüs,,eïgalas,,,
ExcideuilSaintPantalydExcideuil,1,Un,homé,n'ovio,,qué,dou,fils,,Lou,,pu,jauné,dissé,,au,soun,paï,Aï,,temps,qué,,iou,sio,,moun,maîtré,,,,et,,qué,iou,ayé,,,dé,l'orgent,,,faût,qué,,,peusso,m'en,ona,,et,qué,,veizo,,deoû,poï,,Portoza,votré,bé,et,douna,mé,so,qué,iou,,débé,ovey,,Au,,moun,fils,,dit,lou,paï,coumo,tu,voudras,,,,Sés,,,un,meichant,,,,,,et,tu,,siras,puni,,Puis,le,paï,dubrit,,,uno,tiretto,,,et,portozé,,soun,bé,et,,n'en,foguet,doua,parts,,poriéras,,,
ExcideuilGenis,1,Un,homè,n'adio,ma,,dou,fiss,,Lou,,pu,zaonè,dissè,,ô,soun,paï,Ei,,tin,què,,iou,chio,,,meïtrè,,,,è,,qu',,aïe,,,dè,l'arzin,,,Sao,què,iou,,peutsè,mè,nôna,,è,què,,vedzô,,dô,poyi,,Partoza,votrè,bè,è,douna-,mè,cho,què,mè,,,rèvè,,Vô,,moun,fiss,,dichè,lou,paï,coumô,tu,voudras,,,Tu,ché,,,un,meitchon,,,,,,è,tu,,chiras,puni,,Aleidoun,lou,paï,drubiguè,,,choun,tiroir,,,è,partôzè,,choun,bè,è,,nin,fôguè,douas,parts,,eiguôlas,,,
