58-viva-1235	28	.												Oquesté d’aïci, 		n’en 	fugué 		tolomen 	indinia					, 				que 			"voulio
            "	plus 	intra 			dins 	l’	oustaou	; 									lou 	père 			fugué oubligea	de 	n’en sorti					, 		et 					de 		lou 			"préïa
            "			d’			intra 		aoub’	el	.
59-viva-1235	28	.			Iquo 					lou 							mettait 			ein coulére 							e 			o 		voulio 	pas 	intra 						";
            "	mais 								lou 	peire 					sourtait 							et 				fallait 						praïa										.
60-prov-1235	28	.	El 																	indigna 				d’aco 								vouyé 	pa 	intra 			din 	l’	oustaou 	; 	"alor
            "								soun 	péro 					sourtigué 							per 							l’		en 	préga										.
61-prov-1235	28	.			Cë 		që 			lou 							mëtëgbé 			en coulero					, 		e 					vouië 	paz-	ëntra						. 	Si bën që 					"
            "			son 	përo 					sourtigué 							për 							l’		ën 	prëga										.
62-prov-1235	28	.			Aquo 															lidounet 		un taou pégin 							qué 			voulié 	plus	intrar 			"dins
            "	l’	oustaou	, 	maïs 								lou 	païré 					sourtet 							et 							li 			diguet			d’			intrar				.
63-prov-1235	28	.			Aquélo 			réspouanso 		lou 							mettet 			en coulèro 							et 					voulié .	"pas
            "	intra 			din 	l’	oustaou 			ce 	qu’	oubligét 					lou 	païré 				de 	sourti 							et 							lou 			preguét 			d’			intra				.
64-prov-1235	28	.														N’en  	fugué 			fatza					, 		é 					vouié 	pas 	intra						, 	mai 								soun 	"père
            "					sourtigué 							é 							lou 			prégué 			d’			intra				.
65-viva-1235	28	.									L’	einé 				n’en 	sigué 			endigna 							et 					vouli 	pa 	entra						, 	mé 								"lou
            "	péré 					isten sourti 										se 	metté 	à 		lou 			préga 			d’			aquo 				d’aqui
66-viva-1235	28	.												Aquesté d’eici		n’en 	fugué 		tan 	indinia					, 				qué 			vouli 	pa	intra 			din 	l’	oustaou	, 		ce 	que 	oubligié 					soun 	péré 				de 	sourtéé 							dé 							lou 			"pria
            "			d’			intra 		enb’	eou	.
67-viva-1235	28	.														N’én  	signé 			indigna 							é 					voulié 	pa’	ntra						. 	Adoun 								sou 	"pairé
            "					sourlén 										sé 	mété 	à 		lou 			préga										.
69-viva-1235	28	.																		en coulero				d’oquo	, 							vouguè 	pas 	intrâs 			dins 	lo 	mèïsou 	";
            "									soun 	péré 	odounc 				sourté 							pér 							l’		én 	convîâs										.
70-viva-1235	28	.									Lou 	garçou 								indigna 												voulié 	pas 	intrar 						; 									soun 	"père
            "					sourtec 							et 				coumensec 	à 		lou 			priar										.
71-fran-1269	28	.												Cetice 		in n’	ait  		tan 	indignà 									qué 		ne 	voleyve 	pa 	"intra
            "			din 	la 	meyzou	, 		cin 	que l’	a oblidgia 					son 	père 				de 	sorti 							é 					de 		le 			preyié 			d’			"intra
            "		avoé 	lui 	;
72-fran-1269	28	.			San 					l’										ingrindza 		bin tan 							que 		ne 	voliâve 	pâ 	boutâ 		le pi au peiliou 				. 			"
            "						Son 	sègno 					vin 		frou 		au prortsou 			po 						cûdi le ravesâ è	le 								fére 	intrâ 	"dè bounè 
            "			.
73-fran-1270	28	.		Llavors 										ell 	s’					irrità					, 		y 				no 	volia 		entrar 						; 	emperò 							"exint
            "	son 	pare 																comensà 	à 					pregarlo										.
74-fran-1270	28	.		Mâ 										il 	s’é 		bouta 			en colère 							et 				ne 	vouilla 	pas 	entra 						; 									"son
            "	paire 	portant 				sailla 							et 							le 			préïve 			d’			entra				.
75-viva-1235	28	.		Y 	sé 												bouta 			en colère 							é 				ne 	volai 	pas 	entra 						; 									son 	"pâre
            "					vint 			"de 
feur 
pé 
"											l’		an 	pria										.
76-viva-1235	28	.			Ce 		quë 				l’	ëyènt 								facha 												vouguë 	pa 	intrar 						; 	mai 								lou 	"pèrë
            "					"ëstèn sourti 
"							par 							lou 			pregar 										;
77-roma-1326	28	.		Ma 										el 	s’					adiret 							e 				nun 	vulaiv 		intrer						. 	Ma 								il 	bap 					"gietour
               "							et 							l’			exhortet										.
79-lang-1309	28	.			Aco en	 					l’						avé 			facha					, 							voulié 	pa 	intra 			din 	l’	oustaou	; 	"més
            "								soun 	pero 		en 			estré sourti 							per 							l		en 	prega 										;
80-fran-1269	28	.							Schtische a fére la potta  																		e 				ne 	voliâvé 	"pâ
            "	intrâ 						; 									schon 						schèna schaliè 				au puêrtzo	, 	lei fe intindre que n’îré pâ le momin dè bognî 	et 							le 			preiya 			d’			intrâ 	de bouna grasshe			.
82-prov-1235	28	.												Aquestou 		nén 	fugué 		tant 	indigna 									que 		noun 	voulié 	"pas
            "	dintrar 			din 	la 	meysoun 	; 		ce 	qué 	a oubligé  					soun 	pero 				de 	sourtir 							e 					de 		lou 			"pregar
            "			d’			intrar 		em’	eou	.
83-norm-1245	28	.			Cha 					l’										fâchit-	i pas 	si ben 			, 				qu’	i 	n’	voulait 	brin 	entrai    						; 									sen 	père 												à celle fin d’							li 			décidai										.
84-prov-1235	28	.			Aquo 					lou 							mettet 			en couléro 							et 					voulié 	plus 	intrar 			"dins
            "	l’	houstaou 	; 									soun 	péro 					esten sourtit 							per 							lou 			pregar 			d’			intrar				.
85-prov-1235	28	.			Aco 					l’							aguendou messou 			en ira					, 					ou 	non 	vourea 	pas 	"entra
            "			ca 			; 	ma 								so 	par 					aguendou chourtiou							per 		ne 					rou 			pregar										.
