63-prov-1235	15	.		Quilét				aqueou quartié								et	fouguét				si louga			émé	un			"des
            "	habitans	d'	un	aooutré				qué		lou mandét	din	sa	grangeo									per		li	garda			lei	pouarcs	.					
64-prov-1235	15	.		Dé sorte qué							s’ané	douna												à	un				habitan	doou		péys		,		"qué
            "		lou mandé	à	sa	grandze								,				garda			lei	por	.					
65-viva-1235	15	.	Agué	alors																			recours	à	un			des	habitans							que		lou mandé	à	"sa
            "	grangeo									per		ly	garda			ses	pourceaux	.					
66-viva-1235	15	.		Que			fugué oubligiadé														s’atachia			à	un				habitandé				"Rendre
            "	",
            "		que		lou mandé	din	sa	ferme									per		li	garda			les	pouars	.					
67-viva-1235	15	.									S’en ané										mètre	oou	servici	d’	un				bourgeouois	d’	aquéou	pais		,		qué		lou mande	a	sa	grange									per		li	gardéssé			léis	pouers	.					
68-viva-1235	15	.	Et								anet										se louyâ			vès	un				hommet	d’	aquau	païs				che		lou mandét	à	sa						campagno							garda			lous	cayons	.					
69-viva-1235	15	.									S’én fugué	dounc				, et					sa louïé			véz	un		bouon		hobitou	"doou
            "		poïs				qué		lou mondé	dins	soun	douméné									per			gordâ			lous	coïous	.					
70-viva-1235	15	.									S’en anec					et			se bettec a		mestre			vés	un			des	"habitans
            "	d’	acqueou	païs		,		que		lou mandée	à	soun						fourest							gardas			les	puercs	.					
71-fran-1269	15	.		Que			l’à itò oblidgia de														s’attatché			à	on				n’abitan	du		"Loa
            "				que		l’a mandò	din	sa	ferma									por			garda			lou	cayou	.					
72-fran-1269	15	.									L‘é zelâ	don									s’acovantâ			intzi	on				retzâ	d’		alinto				que		l’a  invouyî	intzi	sè	grandzî									po			gardâ			lé	puô	.					
73-fran-1270	15	.																Él			se metta		servisé	d’	on			dés	habitants	de	cetit	pays	lai			que		l’enviai	dei	enn	hôto de campagne									por		gli	voirda			lés	pors	.					
74-fran-1270	15	.		Llavors							sen anà				,	y					s’arrimà			à	un			dels	"ciutadans
            "	d’	aquella	terra		,		qui		l’envià	à	sa	granja									à			guardar				porchs	.					
75-fran-1270	15	.		Adan		il					s’en alla 					et					servecha				ion			dis'	habiten	de	"ci
            "	pays	inke	,		que		l'envouia	sur	sé	bins									por			vouerda			lé	pouers	.					
76-viva-1235	15	.								De sourte qu’						y					se bouta	au	service	chi	on				ôme	du		pay		",
            "		che		le fé moda	dian	sa						campagne			,	pe			garda			lou	pouer	.					
77-viva-1235	15	.		Après							s’ën anë					ët					së mëttë	ou	sarvici	d’	un			das	habitans	dou		païs				quë		lou mandë	à	sa	mëigeoun das champs									parli			gardar			lous	pourceous	.					
78-roma-1326	15	.					Giet dimena a														s’iffiner			tier	ün				contadin	da	quella	contreda		,	il	quel il		tramatet	sün	sia						campagna				a			parchirar			ils	pôres	.					
79-roma-1326	15	.		Et							eis i					et					s’hatachia			ad	ün				vaschin	da	lessa	regiun		",
            "		et il		el tramettét	in	sea	vilascha								,	chia		el	parchüra			ils	porchs	.					
80-lang-1309	15	.									S’ën ané	doun			,	é					së louguet			embé	un			das	abitans	d’	"aquel
            "	péis		,		qé		lou mandet	à	soun	mas								,	pèry			garda			sous	pors	.					
81-fran-1269	15	.				Li’					alla										sch’ acovintâ			vê	on				routzèrî	de		pèrinque				que		l’invouya	vê	shé	grandjî									po			vuèrdâ			lè          	puê	.					
82-poit-1241	15	.					Le sit forcé de														se lougé			ché	n’in				mocieu							qui		l’enveillit	dans	in’e de sé	farme									pr’			gardaie			lé	gorett	.					
823-prov-1235	15	.		Qué			fouguet oublija de														se lougar			em	un				habitan	deau		luech				que		lou mandé	dins	la	fermo									per			gardar			lei	pourcs	.					
84-prov-1235	15	.		Pour lors,		i					s’n allit					et					s’mint	en	condition	"cheux
            "	z’un				particuyer	du		pais		,		qui		l’envyit	à	eunne	maison			qu’il avait és 		camps			",
            "	pour	à celle fin qu'	il y	gardit			lé	cochons	.					
85-prov-1235	15	.									S’en anet	donne				et					se mettet	en	servici	aquo d’	un			"deis
            "	habitans	daou		pays		.		Aquestou		lou mandet	à	sa	bastido									per			gardar			leis	pouercs	.					
86-prov-1235	15	.		Ou							se n’anda	douca				et					s’astaqua	à rou	servijou	d'	"un
            "				habitanté	d’	essou	paysé		,		qui		rou manda	à ra	soua	granega dra campagna									"per gué
            "			gardar			ri	porqui	.					
87-high-1290	15	.			Que ne poyant pieu résista,	él					alla										à maîtretschie				"on
            "			dés	habitants	de	stou	pabis	lei			que		l’eiveya	dai	ainne	maujon de campagne								,	"por
            "			voarda			lés	pors	.					
88-fran-1270	15	.				El															se botét	en	service	tschie	in			des	habitaints	de	ci  	payis		,		que		l'enviét	dain	ainne	majon de campaigne									po		yi	vardé			lés	poës	.					
89-fran-1270	15	.																			s’attacha	u	sarvice	d’	in			dés	habitants	de	su	pays	"là
            "			que		l'éviesa	dai	enne	maison de campagne									por		y	voirdai			les	pors	.					
90-fran-viva	15	.				Al															s’agaget	y	sarvice	d’	in			des	habitants	de	stu	"pays
            "				que		l’oviait	dans	enne	ratscherie									pou			voirdâ			ses	poas	.					
