61-prov-1235	32	.	Me 						fouie 					bén 					faire 				festin 		é 			se 	réjoui		, 	parçoqé 		"vostë
            "	frero 	q’		és 	aqi 						éro 	mor 			é 				es résuscita 		: 						éro 	perdu 									és ré trouva			.
62-prov-1235	32	.	May 																													quand 		toun 	frairé 	qu’										mouart 							a ressucitat 			"que
            "					ero 	pardu 		et 							ista retroubat		, a foougu faïre un festin et se regalar de soun arribado     	.
63-prov-1235	32	.	Maï 						fallié 						si regalar 	per 					un 	grand 	festin								, 	parce que 	"
            "	vouastré 	fraïré 	qu’		es 	aqui 						éro 	mouart 			et 				es révioudat		, 						éro 	perdu 		et 						s’	"és rétroubat
            "			.
64-prov-1235	32	.	Maï 						foüié 										faïré 			bone 	tziére 		é 			nou 	régala		, 	parcé qué	"
            "	toun 	frère 	qu’									érou 	mor 							éï rèssuscita		, 						érou 	perdu 		é 						s’	és atrouva			.
65-viva-1235	32	.	Mé 						fouli 						sé réjoui 	et 			faire 			buano 	chiéro 									de ce qué 		"toun
            "	freré 	qu’									éro 	mouart 							ei revengu àlavido		, 	et que					isten 	perdu	, 						l’		aven atrouba			.
66-viva-1235	32	.	Mé 						fouli 										faire 				festo 		é 			nous 	rejioui		, 	parcé qué 		vouasté	fréré 	qu’									éro 	mouar 							ei ressucita		, 	qu’					éro 	perdu 		é	qu’						ei rétrouva			.
67-viva-1235	32	.							Foulié 			pas mén 		bén 	sé régala 										é 			sé 	gooudî 			que 		"toun
            "	frairé 	dé			issi 						ère 	mouer 			é 				és révieouda		, 						avié 	péri 		é 							és rétrouba			.
69-viva-1235	32	.	Més 						folio 										fas 				fèto 		et 			nous 	redzouïs		, 	pércé qué 		"votré
            "	fréré 										ero 	mouort 				qu’			éi ressuscita		, 	qu’					ero 	pérdu 		et 	que 					s’	éi retrouva			.
70-viva-1235	32	.	Chalie 																far 		un 		festé 		et 			se 	rejouir		, 	parce que 		toun 	"frère
            "										ere 	mouert		, 	et 				es ressucitat		, 			er 			e 	perdu 		et 							es rétrouba			.
71-fran-1269	32	.	Mais 			è 			faliey 										fère 				fêta 									parce que 		voutrom 	frère 										èteyve 	mor 							e resuscito		, 	qu’					èteyve 	perdu 									é retrov			.
72-fran-1269	32	.	Mâ 				ne 		faliei-te 			pâ 			sè renovalâ										è 			sè 	redzoï		, 	apri que		ton 	frârè 										ètei 	mô 						l’	è ressuscitâ		, 	qu’					ètei 	pèrdu	, 	è 					l’		è retrova 			!
74-stan-1289	32	.	Mes 						rahò era 								que 		fissenc 		un 		convit	, 	y 			nos 	"alegrassera
            "			puix 		ton 	germà 										era 			, 			y 		ha ressuscitat 		; 				s’		havià 	perdut	, 		y 						ha estat trobat			.
75-fran-1270	32	.	Mâ 			il 			faillai 										fére 			bouna 	tzira 		et 			se 	radzoïr 			parce que 		ton 	frare 	que 				vaitinque 					ire 	moua 			et 		il 	lié 	retorna en vie		, 			il 	l’		iire 	perdu 		"et
            "				il 		sé 	retrova			.
76-viva-1235	32	.	Ma 			y 			fallai 					bein 					fare 			ounna 	faita 		é 			se 	réjuï		, 	pé 		"voutron
            "	frare 	che 				vaiquia 	; 		al 		étai 	mour 					al 		é ressuscita		, 			al 			étai 	pardu 						al 			é rétrova    			.
77-viva-1235	32	.	Mai 						fallie 					bèn 					faire 		un 		fëstin 		et 			nous 	rëjouir		, 	"parcequë 
            "		voustë 	frèrë 	que 				vëichi 					ere 	mouert 			ët 				ës rëssuscita		, 						ère 	pardu 		ët 							"ës rétrouba
            "			.
