34-lang-1309	17	. 		Enfin						, 							estan 		rentrât 				en 	el	-	même							, 						diguoit																									: 												can 					io 								"tsas
            "	moun 	païré 					dé 		doumestiqués 			o 	gatzès 																									qu’		on 	maï 		dé 	po 						qué 			lour 		né 		cal									, 	et 				io 									"mori
            "		oïci 	dé 	tolan 				!
35-limo-1246	17	. 		Quant à la fi 													v’agué 		reintrêt 				ein 	li 		méime							, 						hu dissét																									: 												Cambé 				n’y 	o 	quo 		pâ 												dé 		vâlaîs 													châ 	moun 		pairé 													qu’		au 			deue 	pô 		mais 				qu’	i 	n’			ein 		"volein
            "							peindein 	qu’			eu 			y 									einragé 			dé 	fan				.
36-limo-1246	17	. 		Au 									sé 						pensé 				en 	sé 		mémo 								et 					disset																									: 													Las 	monobras 	"qué
            "		sount 																														chas 	moun 		paï 															sonbreint 			lou 	po 																						, 	et 				io 									méré 			de 	fam 				!
37-limo-1246	17	. 		Enfin 													étant 		rentra 				en 	se 		mémô							, 	ou 					disset																									: 												cambé 				"ly
            "	ôt	-eü 														de 		serviteurs 			à 	gagés 					di 	lô 	meygeou 		dé 	moun 		paï 													qu’		ant 			dau 	pô 				aboundanceô																		, 	"et
            "	mé 			yaû 									moré 			de 	fam 				!
38-auve-1239	17	. 		A la fi 							ïau 								rentré 				guien 	se 		mémo							, 	et 		ïau 			digue 																									que 																"y
            "	z’o 															de 		valei 									guien 	la 	moueisou 		de 	moun 		payre	, 												que 		mandzon 			tou 	ce 						que 							voulan									, 	et 				"you
            "									maure 			de 	fan 	eichi			.
39-lang-1309	17	. 		Oleros 																																heil 		se 	diguet 	ein 	gueil 		mémo 																					que 																																de 		doum’stics									din 	l’	oustaou 		de 	moun 		paire 															aou 	aboundancio 		de 	po 																							et 				iou 									more 		"aici
            "	de 	fom				.
40-lang-1309	17	. 		O lo fi 													esten 		dintrat 				en 	el 		mêmes 										el 			diguèt 																									: 												quontes 				"y
            "	o 					dins 	l’	oustal 	de 	moun 	pèro 					de 		boilets 																													que 		oou 			de 	pa 		ma 			lou 	que 			lou’		n’		cal 										et 				"iou
            "						oici 			ogonisse								.
41-lang-1309	17	. 		Alabetch 															rebenguen 				en 	el 		nemo 																																						: 												Quantis 																				"de
            "		baylets 									din 	l’	oustal 		de 	moun 		païre 															en 			de 	pa 				en aboundanço 																			e 				io 							ayei 		mori 			"de
            "	fan 				!
42-limo-1246	17	. 																	Rentret 				en 	et	-	même 								et 					dissut																									: 												Coumbien 																				de 		beyletz 									"a
            "	l’	ouslaou 		de 	moun 		pay 															abounden 			de 	pan 																							et 				jou 									môri 		assi 	de 	ame				.
43-gasc-1240	17	. 		Que 															rentrée 				en 	et	-	madich							, 	é 	que 				digouc 																									: 												"Quantis
            "		journaliés 		n’	an 			pas 																				ets 	pan 	araguero	deguens 	la 	maysoun 		de 	mon 		pay																																									, 	é 				jou 	"que
            "								mourichi 		aci 	de 	hame				.
44-lang-1309	17	. 		Més 															rintrat 				in 	soi 		mémo 													diguec 																									: 												Quant de	 	"mercenaris
            "																													dins 	l’	oustal 		de 	moun 		paire 															an 			de 	pa 				en aboundanço 																		, 	é 				jou 						aci 			mori 			de 	fam				.
45-lang-1309	17	. 		Or 															rentrach 				en 	soy 															disec 																									: 												Qüant de 		baillets 		y 	a 																										en 	"a
            "	maison 		de 	mou 		pay 													qu’		aboundon 			de 	pa 																							et 				jou 						aci 			mori 			de 	hame 				!
46-lang-1309	17	. 		Anfin 															dintrèc 				èn 	èl 		même 								et 					diguèc 																									: 																Y’	a 														pla 	"dè
            "		domesticos 									dins 	l’	oustal 		dè 	moun 		payré 													qu’		an 	may 		dè 	pa 						què 		nou 	lour 				cal 										"et
            "				yèou 					soun 	ayei 		à 	mouri 			dè 	fam				.
47-lang-1309	17	. 		Mes 															rebengut 				en 	el 		mateix							, 			el 			digueg 																									: 																Y 	a 														tant 	"de
            "		baillets 									dins 	l’	oustal 		de 	mon 		paire 													que 		mangen 				pa 					tant 	que 							bolen 										et 				yeu 				"me
            "					mori 		acy 	de 	fam 				!
