41-lang-1309	13	. 												Paou 				de 		jours 					après				, 					lou 			pu 	joube 				fil	, 			b’ajec		"tout
            "	ramassai 																									se 			mettec 													en 						bouyatge 																per 		un 		païs 							pla 	eloignat 			e 		aqui 											dissipée 						"soun
            "		deque 			en 		biben 									din 	la 	debaoutcho																					.
42-limo-1246	13	. 												Paou 				de 		joures 					après																		, 			aougen 		tout 	amassat														, 	lou 		pu 	"june
            "	gouyat 									partit 																											tout 	de 	suite 						per 		un 		peïs 							bien 	louyné 					achiou 											dissipet 						soun 		bien 			"en
            "		biben 									den 	lou 	libertinaghe																					.
43-gasc-1240	13	. 												Quaouques 						jours 					après				, 	é 	après 															aoüe 			ramassat 			tout 	"soun
            "						deque				, 	aquet 				maynat 	que 	parliscouc	, 	é 																	s’	en					angouc 	louylouy															, 	deguens 		un 		païs 																		"oun
            "				s’		aougouc 		leou 		tout 				couhounul 			en 		bioue 									dins 	lou 	derégloment																					.
44-lang-1309	13	. 								Dins 				paouc 				de 		jouns									, 					le 	fill 	le 	pus 	jouen					, 	aprex 		"abe
            "			ramassat 			tout 	ço 	qu’					abio				, 											se 			metec 													en 						bouyatge 											é 	partie 				per 		un 		païs 							"fort
            "	eloignat 			é 							i 						dissipée 						soun 		be 			en 		biben 											luxuriousoment																					.
45-lang-1309	13	. 								Et 				poc 				de 		dios 					ensuite				, 					aquech 	hilh 		més 	joués 						après 		"aüe
            "		tout 	plegach 																									se 			mettec 													en 						bouïatge 																per 		un 		païs 							fort 	louen	, 		et 		aqui 											dissipée 				"tout
            "		sou 		be		, 	en 		biuen 											luxuriousement																					.
46-lang-1309	13	. 												Paouc 				dè 		jours 					aprèp 				, 					aquèl 				jouèn 				homè 			èn 	abèn 			"amassai
            "			tout 	so 	què					abio 																														sèn 						anguèc 																	dins 		un 		pays 			èstrangé 				fort 	éloignai 										ount 			èl 			"dissipée
            "				tout 		soun 		bè 			èn 		fan 			excès 		et 				èn 		débauches																					.
47-lang-1309	13	. 								Et 				pauq 				de 		jous 		s’	eren 	passato 						que 				le 			pus 	joube 						"apros
            "		abé 		tout 	ramassai 																																								c’	en 					aneg 							pel 	mond								, 	dins		un 		pais 							fort 	éloignât 			et 		aqui 											dissipeg 						"ço
            "	que 	abio		, 	en 		biben 									dins 	la 	dissouloution																					.
48-lang-1309	13	. 								Et 				pauq 				de 		jous 		s’	eren 	passats 						que 				le 			pus 	joube					, 	"apres
            "		abé 		tout 	ramassat														, 																										s’	en 					aneg 							pel 	mond								, 	dins 		un 		pais 								éloignât	, 		et 		aqui 											dissipeg 						"ço
            "	que 	abio		, 	eu 		biben 									dins 	la 	dissoulutiou																					.
49-cata-1291	13	. 								Y 				pocs 						dies 					despres																		, 						reunint 			toi 	lo 					del 	seu				, 	lo 		"mes
            "	jove 	fill			, 						ana 			caminant 	lluny 	de 			sa 	casa			s’																						, 	en 				pays 			estrany 						; 		y 		aqui 											"malesmersa
            "						lo 		be 	seu	, 			vivint 											luxuriosament																					.
51-lang-1309	13	. 								Et 				paüc				dé 		jours 					apéï				, 					lé 			pùs 	joubé 	das 		doùs 	mainachés		apéï 	qué 	ajéc 			amassât 			tout 	lé 						bé 	qué 	y 	rébégno	, 																										s’	en 					anéc 				a	l’	abanturo 											dins 		un 		"pays
            "							plà 	escartât	, 		et 													dissipéc 						soun 		bé		, 	en 		bibin 	dins 	las 	grandoùs 		et 					la 	débaucho																					.
