45-lang-1309	24	. 		Car 					aqueste 	mien 		hill 										ero 	mort 		et 		qu’					é 		ressuscitach		";
            "					éro 	perduch 		et 				qui 		s’	é 	trouvach 		et 						coumenceren 									le 		festin											.
46-lang-1309	24	. 		Perçoquè 						moun 		fil 		qu’	ès 		aquy 					èro 	mort 		et 							ès 		ressuscitât		, 					èro 	pèrdul 		et 							ès 	troubat 	; 					élis 		coumencéoun 						dounc 	à 	fa 	un 		fèstin											.
47-lang-1309	24	. 		Pramos que 						mon 		fil 		que 	es 		aqui		, 			ero 	mort 		et 							"es
            "		ressuscitât		, 					ero 	perdut 		et 						s’	es 	troubat 	; 	et 															la 		festo 	coumenseg										.
48-lang-1309	24	. 		Pramos que 						mon 		fil 		que 	es 		aqui 					ero 	mort 		et 							"es
            "		ressuscitât		, 					ero 	perdut 		et 							es 	troubat 	; 	et 															la 		festo 	coumenseg										.
49-cata-1291	24	. 		Perque 				est 		meu 		fill							, 			era 	mort	, 	y 							es 		lornat viu		, 					"era
            "	perdut 							y 	se 	es 	trobat	, 	y 						commensarem 															à 				menjar 	ab 	allegria	.
51-lang-1309	24	. 		Parcé qué 						mou 		fil 								qu’		éro 	mort 										bén de 	reçussita		, 		qu’			"éro
            "	égarat 		et 				qué 	lé 			rétrobi	. 				Tout lé moundé 		sé 	métec 		dé suito													à 				tauléja			.
52-lang-1309	24	. 		Parce qué 						moun 		effan 		qu’	és 			bengut 				éro 	mort 		et 							"es
            "		ressuscitat		, 					ero 	perdut 		et 							es 	troubat 		et 						coumencerou 							de 	faïré 		bouno 	bido											.
53-lang-1309	24	. 		Aqui 			y 	ai 		un 		éfan 								qu’		éra 	mort 									etes 		rebéngut 		; 				s’	"éra
            "	perdut 		et 						s’	es 	trouba 	: 						se 	meteron 						doun 									à 	se 			regala			.
54-lang-1309	24	. 		Parcé que						moun 		fil 		que 		bésés			, 			ero 	mort 		et 							es 		resussitat		, 					ero 	perdut		et 					l’		ai 	retroubat 	: 							coumenceren 						dounc 	a 	fa 			festin											.
55-lang-1309	24	. 		Parço qué 						moun 		fil 		qu’	es 		aïci 					éro 	mor 		é 							ès 		ressuscitât		; 					éro 	perdut 		é 							ès 	retroubat 	; 	é 						coumencerou 															a 	si 			règeouï			.
56-lang-1309	24	. 		Perce qué 	acos 					mon 		fil 		qué 								era 	mor 		é 		qué 					es 		ressuscitai 							éra 	pérdut 		é 				qu’			és 	retrouvât 		é 														fagen 		granda 	festa											.
57-auve-1239	24	. 		A caouse qu’	ati 					moun 		garçon 								qu’		ero 	mort 		et 	ayare 						"es
            "		tourna viou							ere 	pardiu 		et 						s’	es 	tourna trouba 	; 						se 	vâlett 															à 				mandjar			.
58-viva-1235	24	. 		Perceque 	oquos 					moun 		garçou 		qué 								ero 	mouor	, 	é 		qu’					"es
            "		revengu 		; 			l’		aïou 	perdu 		et 					l’		aï 	retrouba 	; 															fagueroun 		grondo 	festo											.
59-viva-1235	24	. 		Parceque 						moun 		garçou 		que 		vequi 						eiré 	more 		et 		qu’					"ofé
            "		ressuscita 					o 		feiré 	pardu 		et 					ol’		e 	retrouva 		et 					s’	atoleirentz							par 	"feire
            "			boumbance											.
60-prov-1235	24	. 		Parce qué 						moun 		fil 		qué 		véjhaqui 						éro 	mor 		e 							és 		ressuscita		, 					éro 	perdo 		et 							es 	rétrouva 		et 						commenceroun 									lou 		festin											.
