id,mot,latitude,longitude
VelinesSaintAntoinedeBreuilh,zoyné,44.8450346,0.1542712
VelinesFougueyrolles,zoyné,44.8657759,0.1857197
BugueJourniac,zoïné,,
BugueSaintFelixdeReillac,zoïné,,
SarlatMarcillacSaintQuentin,zoïné,44.9503414,1.2120776
SarlatSaintAndredAllas,zoïné,,
MontignacPeyzac,zoïné,44.9912437683055,1.07911273469196
MontignacSaintLeonsurVezere,zoïné,45.010916,1.0893596
BuissondeCadouinMolieres,zoïné,,
LalindeVicq,zoïné,44.8988276,0.7452755
LalindeLalindeSainteColombe,zoïné,44.874661,0.739994
LalindeBaneuil,zoïné,44.850414,0.686999
LalindeMauzac,zoïné,44.864061,0.7980814
LalindeSaintMarcelduPerigord,zoïné,44.9156193,0.7123095
LalindeCouzeetSaintFront,zoïné,44.8280556,0.7069444
VillamblardSaintMartindesCombes,zoïné,44.9562367,0.6144256
LaForceLesLeches,zoïné,44.9891843,0.3843002
LaForceSaintPierredEyraud,zoïné,,
LaForceGinestet,zoïné,44.909339,0.426414
LaForceLaForcebis,zoïné,44.867659,0.397291
IssigeacSaintAubindeLanquais,zoïné,44.7930433,0.5970138
BergeracLamonzieMontastruc,zoïné,44.89542,0.59293
BergeracSaintNexans,zoïné,44.80435,0.54749
BergeracBergerac,zoïné,44.8534568,0.487531
SigoulesFlaugeac,zoïné,44.7481847288996,0.441901713204612
SigoulesRazacdeSaussignac,zoïné,44.8039905,0.284873
SigoulesSigoulesbis,zoïné,44.7664309250753,0.415469559500231
SigoulesMescoules,zoïné,44.7478756,0.4309744
VelinesMontazeau,zoïné,44.8937155,0.1297751
VelinesSaintVivien,zoïné,44.8928672088711,0.102090119906187
BugueFleurac,zoiné,,
TerrassonLavilledieuLavilledieu,tjéouné,45.1385821993489,1.27415580667008
TerrassonLavilledieuLeLardinSaintLazare,zéône,45.1285324,1.2302677
TerrassonLavilledieuLaBachellerieLaularie,jeyne,45.1318038072179,1.18561880666736
TerrassonLavilledieuLaBachellerie,jéouné,45.1465943726657,1.15608904392869
TerrassonLavilledieuGrezes,dzéouné,45.1047625524283,1.36470648731209
TerrassonLavilledieuTerrassonbis,dzéouné,45.12616555254855,1.3045038622194023
TerrassonLavilledieuLaDornac,jéēūné,45.08139,1.35916
TerrassonLavilledieuLaFeuillade,tzèounei,45.1163922711478,1.39955069095761
TerrassonLavilledieuColy,zèouné,45.0845747452129,1.26716669362842
TerrassonLavilledieuBeauregarddeTerrassonLardin,jeïné,45.1441705317784,1.21915805612948
BelvesBelvesbis,țoïnè,44.7843786722747,1.01210746285107
BelvesSaintAmanddeBelves,czoïné,44.76097,1.03734
BelvesBelvester,tsoïné,44.7777779650012,1.01112667735268
DommeDommebis,tsoïné,44.8092143907841,1.21747853805663
CarluxSaintJuliendeLampon,tsoïné,44.8607354,1.3632959
MontignacThonac,tsoïné,45.02172,1.1171
BuissondeCadouinLeBuissondeCadouin,tsoïné,,
DommeSaintLaurentlaVallee,xoïné,44.7491972,1.1099704
DommeSaintAubindeNabirat,xoïné,44.7314285,1.2900859
DommeFlorimontGaumier,joyni,44.6992521,1.2396126
DommeBouzic,tchouïné,44.72622,1.2192
DommeNabirat,tzouïne,44.7537564,1.2980122
DommeSaintPompont,tzouïne,44.7261516,1.1463779
CarluxCarlux,tjoïné,44.8828415598541,1.35433867223911
LaForcePrigonrieux,tjoïné,44.855306,0.4030054
CarluxSainteMondane,tsoyné,44.8453145,1.3363947
CarluxVeyrignac,stsoïné,44.8320108,1.3100538
MontignacLesFarges,zéüné,45.1149548112066,1.1907140666456
MontignacAuriacduPerigord,zoïnè,45.1058,1.135886
VillamblardBeauregard,zoïnè,44.9941775342369,0.644001818219512
VillamblardVillamblard,zoïnè,45.0224081,0.5405512
SainteAlvereTremolat,zoïnè,44.8767438765089,0.83215410527053
BuissondeCadouinUrval,choyne,,
LalindeVerdon,zoënné,44.8104526,0.630947
LalindeCausedeClerans,zoeyné,44.86186,0.66656
MonpazierSaintAvitRiviere,souyné,44.75091,0.88224
BeaumontduPerigordBourniquel,souyné,44.808862,0.7736328
MonpazierSoulaures,dzouiné,44.6499,0.92262
MonpazierBiron,tjouïne,44.6312198,0.8725428
MonpazierGaugeac,souïné,44.66718801054,0.873637628541771
MonpazierCapdrot,tsouiné,44.681197,0.9209994
VillamblardMontagnaclaCrempse,géoïné,44.9806229,0.5458686
VillamblardDouville,zoÿné,44.9989667,0.5857891
LaForceLunas,joiëyné,44.9177778,0.4038889
LaForceMonfauconNordEst,joïnet,44.932223,0.256038
LaForceSaintGeorgesBlancaneix,joïne,44.9198901,0.3495831
VelinesVelines,joïne,44.8593413,0.1073984
VelinesVelinesbis,joïne,44.868326428887,0.107989740747196
VelinesSaintSeurindePrats,joïne,44.8279478,0.0758194
EymetSingleyrac,jounne,44.7363132,0.4644315
EymetRazacdEymet,souÿné,,
EymetSerresetMontguyard,dzouyné,44.6738234,0.4530499
EymetSadillac,souyne,44.733967,0.4837678
EymetEymet,zouyné,44.6681229,0.3984795
EymetSaintAubindeCadelech,zouyné,44.6931801,0.4809981
EymetRouquette,zouyné,44.679544,0.398283
IssigeacIssigeac,zouyné,44.7304484,0.6069877
IssigeacFalgueyrat,zouyné,44.680113,0.537572
IssigeacMandacou,zouyné,44.713259,0.549143
IssigeacMonmarves,zouyné,44.7090437,0.612309
EymetSaintJuliendEymet,djouïné,,
IssigeacMonmadales,dzouïné,44.7670132,0.6210015
IssigeacBouniagues,tzoÿné,44.75885,0.52672
IssigeacBardou,djoïné,44.7373241,0.6839343
IssigeacEyrenville,joūině,44.7011133,0.5670064
BeaumontduPerigordMonsac,z̄ouïne,44.7628,0.6997
BeaumontduPerigordSainteSabineBorn,sçouyné,44.69247,0.7506
BeaumontduPerigordNaussannes,xouïné,44.7577409,0.7252006
BeaumontduPerigordBeaumontduPerigord,soïne,44.7667555,0.7668346
BeaumontduPerigordBayac,gnoné,44.80365,0.72591
BergeracCreysse,zôïnei,44.8566667,0.5666667
SigoulesPomport,joyne,44.779941183963,0.418264778081384
VelinesLamotheMontravel,joyne,44.8503948,0.0250918
SigoulesSigoules,z̄oïné,44.7588738,0.4097781
SigoulesPuyguilhem,zoïno,44.7323378,0.3518716
VillefranchedeLonchatSaintMearddeGurçon,joueinè,44.9090789,0.1823845
VillefranchedeLonchatMinzac,dzaoüné,44.9732874,0.038044
SainteAlverePaunat,zoïne,44.9053718,0.8588365
VelinesBonneville,zoïne,44.8208,0.0797
VelinesSaintMicheldeMontaigneBonnefare,juné,44.8716117703128,0.0069422139608929
VelinesMontcaret,joëne,44.8594444,0.0644444
VelinesPonchapt,zoueïnné,44.8898566,0.20306
VelinesSaintMicheldeMontaigneBourg,joiné,44.8747740344642,0.0301164982897156
MussidanMussidan,joiné,45.0369509,0.3642959
VerteillacCherval,jouné,45.3947645,0.3742264
MussidanSaintLouisenlIsle,jouné,,
VerteillacSaintPaulLizonne,zaouné,45.3199733,0.2808065
ThiviersSaintJeandeCôle,zaouné,45.4212284,0.8384225
VerteillacCercles,zaûné,45.3646846,0.4613677
VerteillacVendoire,jeauné,45.41487,0.30181
VerteillacLaChapelleMontabourlet,zoauné,45.3941727,0.4637646
VerteillacLaChapelleGresignac,jaunè,45.3942108,0.3377271
VerteillacBouteillesSaintSebastien,jaunè,45.3458333,0.3052778
VerteillacCoutures,jaunè,45.3306555154849,0.394254720052601
SaintAulayeSaintAntoineCumond,jaunè,45.2559621,0.1986112
JumilhacleGrandJumilhacleGrand,jaunè,45.4936287,1.0619624
VerteillacChampagneetFontaine,jôounè,45.4225,0.3180556
VerteillacNanteuil,zauné,45.38554784116,0.291164856454603
VerteillacSaintMartialViveyrol,jaouné,45.3583333,0.3394444
MontagrierCelles,jaouné,45.2975677,0.4135916
SaintAulayeSaintVincentJalmoutiers,jaouné,45.20251,0.1923585
RiberacBourgduBost,j'ouné,45.2719942,0.2564192
RiberacRiberac,jounnè,45.2477778,0.3397222
