id,mot,latitude,longitude
BugueMortemart,dous,,
TerrassonLavilledieuLavilledieu,dous,45.1385821993489,1.27415580667008
TerrassonLavilledieuLaBachellerie,dous,45.1465943726657,1.15608904392869
TerrassonLavilledieuCondatsurVezere,dous,45.11924,1.23644
TerrassonLavilledieuLaDornac,dous,45.08139,1.35916
TerrassonLavilledieuColy,dous,45.0845747452129,1.26716669362842
MonpazierVergtdeBiron,dous,44.63303,0.84126
VillamblardIssac,dous,45.01476,0.45064
VillamblardSaintMartindesCombes,dous,44.9562367,0.6144256
LaForceLesLeches,dous,44.9891843,0.3843002
LaForceBosset,dous,44.9512,0.3554304
LaForceSaintGery,dous,44.983023,0.324265
VillefranchedeLonchatCarsacdeGurson,dous,44.9474308,0.091145
VillefranchedeLonchatSaintMearddeGurçon,dous,44.9090789,0.1823845
VelinesVelines,dous,44.8593413,0.1073984
VerteillacCherval,dous,45.3947645,0.3742264
VerteillacVendoire,dous,45.41487,0.30181
VerteillacVerteillac,dous,45.3473878,0.3662938
VerteillacNanteuil,dous,45.38554784116,0.291164856454603
VerteillacCoutures,dous,45.3306555154849,0.394254720052601
RiberacComberancheetÉpeluche,dous,45.2726296,0.2871798
RiberacAllemans,dous,45.2864902,0.3084206
RiberacRiberac,dous,45.2477778,0.3397222
RiberacSioracdeRiberac,dous,45.1972033,0.3588633
RiberacSaintPardouxdeDrône,dous,45.2253579,0.4210264
RiberacSaintMartindeRiberacbis,dous,45.2364055605655,0.362250324465947
RiberacSaintMartindeRiberac,dous,45.2297691,0.3586599
MontagrierTocaneSaintApre,dous,45.2542027,0.4972878
MontagrierSaintJust,dous,45.335578568197,0.505848763006261
MontagrierChapdeuil,dous,45.3423789,0.4750679
MussidanSaintMartinlAstier,dous,,
MussidanSaintLaurentdesHommesbis,dous,45.0425965284263,0.262880447560896
MussidanSaintFrontdePradouxbis,dous,45.0638241275728,0.365943148951139
MussidanBeaupouyet,dous,44.9973742,0.2736296
MussidanMussidan,dous,45.0369509,0.3642959
MussidanBourgnac,dous,45.0162322377614,0.404659398072496
NeuvicBeauronne,dous,45.0950649687741,0.380631971265774
NeuvicDouzillac,dous,45.0846627,0.4154039
SaintAulayeServanches,dous,45.1442152,0.1571148
SaintAulayeSaintAntoineCumond,dous,45.2559621,0.1986112
SaintAulayeSaintPrivatdesPres,dous,45.2256148,0.2160787
SaintAulayeLaJemaye,dous,45.1707309,0.2576933
MontponEygurandeetGardedeuilPalem,dous,45.0964249212683,0.152477565292606
MareuilPuyrenier,dous,45.47832,0.4729
MareuilMonsec,dous,45.4217155374688,0.53257556768615
MareuilVieuxMareuil,dous,45.4318264,0.4993633
ThiviersVaunac,dous,45.3638364,0.8641715
ThiviersEyzerac,dous,45.3883953,0.9203253
ThiviersThiviers,dous,45.4183646,0.92088
SaintPardouxlaRiviereSaintFrontlaRiviere,dous,45.4730556,0.7272222
SaintPardouxlaRiviereSaintPardouxlaRiviere,dous,45.4941667,0.7466667
SaintPardouxlaRiviereMilhacdeNontron,dous,45.4683333,0.7813889
NontronNontron,dous,45.5294784,0.6618726
NontronLussas,dous,45.5055139176774,0.583738296606267
NontronLeBourdeix,dous,45.5892772285081,0.633498972646062
NontronAugignac,dous,45.5920486,0.7017889
NontronSaintMartialdeValette,dous,45.5172222,0.6508333
ChampagnacdeBelairCondatsurTrincou,dous,45.3830556,0.7088889
ChampagnacdeBelairChampagnacdeBelairbis,dous,45.4010395256086,0.702643142829104
BussiereBadilSoudat,dous,45.62358,0.56386
JumilhacleGrandSaintPierredeFrugie,dous,45.5734979,0.99794
LanouailleDussac,dous,45.3949,1.08145
LanouailleSarrazac,dous,45.4372591315935,1.03198040852364
LanouailleSaintSulpicedExcideuil,dous,,
SavignaclesÉglisesSorges,dôu,45.3080310719242,0.872619960923924
SavignaclesÉglisesAntonneetTrigonant,dôu,45.2131143589075,0.83096799848027
BrantômeBourdeilles,dôu,45.3217639,0.5871282
ThenonGabillou,dôu,45.20584,1.03444
MareuilMareuil,dôu,45.4564066953194,0.45489843365527
ThiviersNantheuil,dôu,45.4134464,0.9449856
SaintPardouxlaRiviereMialet,dôu,45.550518,0.9045666
JumilhacleGrandSaintPriestlesFougeres,dôu,45.5430043,1.0101651
LanouailleLanouaille,dôu,45.392287,1.1383271
SavignaclesÉglisesLeParnetbis,doux,45.2629436591999,0.82481226793417
SavignaclesÉglisesCoulaures,doux,45.3065736,0.9822283
SavignaclesÉglisesLigueux,doux,45.30813,0.81893
ExcideuilSaintGermaindesPres,doux,45.3419501,0.9912891
ExcideuilExcideuil,doux,45.337548197067,1.0486302572322
SaintPierredeChignacBassillac,doux,45.1913737,0.81311
SaintPierredeChignacNotreDamedeSanilhac,doux,45.1216105,0.7156878
VergtÉgliseNeuvedeVergt,doux,45.08298,0.73108
BrantômeLislebis,doux,45.2876753686096,0.555848178032731
BrantômeSencenacPuydeFourches,doux,45.3070727,0.6636417
BrantômeSaintJuliendeBourdeilles,doux,45.35974,0.5888994
TerrassonLavilledieuLeLardinSaintLazare,doux,45.1285324,1.2302677
TerrassonLavilledieuLaBachellerieLaularie,doux,45.1318038072179,1.18561880666736
DommeFlorimontGaumier,doux,44.6992521,1.2396126
VillamblardÉgliseNeuvedIssac,doux,,
VillefranchedeLonchatSaintMartindeGurson,doux,44.9526021,0.1076912
VerteillacLaChapelleGresignac,doux,45.3942108,0.3377271
RiberacChassaignes,doux,45.2515435,0.2540075
MontagrierSegonzac,doux,45.2057438150972,0.448653090503334
MontagrierTocaneSaintAprebis,doux,45.2567005046864,0.507119024547233
MontagrierSaintVictor,doux,45.26311,0.43801
MontagrierMontagrier,doux,45.2698903,0.4780573
MontagrierPaussacetSaintVivien,doux,45.3482252,0.5392852
MussidanSaintMedarddeMussidan,doux,45.0447827,0.3449927
NeuvicSaintJeandAtaux,doux,,
MontponSaintMartialdArtenset,doux,,
MareuilLesGraulges,doux,45.4955471,0.4413187
MareuilSaintSulpicedeMareuil,doux,45.4683333,0.5075
SaintPardouxlaRiviereFirbeixPauliac,doux,45.5970337893867,0.926712975835456
NontronNontronter,doux,45.5319762046864,0.671703824547233
NontronJaverlhac,doux,45.5694607,0.561207
NontronLaChapelleSaintRobert,doux,45.5713485983913,0.559996963933062
ChampagnacdeBelairQuinsac,doux,45.4287117,0.7046508
ChampagnacdeBelairLaChapelleFaucher,doux,45.37167,0.75278
JumilhacleGrandMontcigoux,doux,45.6055497,1.0033022
LanouailleNanthiat,doux,45.4079567,0.9858037
LanouaillePayzacLavergneGaillaud,doux,45.4450502734311,1.2233314724838
VergtSaintMicheldeVilladeix,d'ous,44.9857254,0.7219503
VergtSaintMaimedePereyrol,doù,45.0145321,0.6472144
VergtVeyrinesdeVergt,doù,45.0032801,0.7711022
SaintAstierSaintLeonsurlIsle,doù,45.1168801,0.497873
MareuilLaRochebeaucourt,doù,45.4699641211467,0.388511097512405
SaintAstierLaChapelleGonaguet,doûs,45.2309431,0.6125317
TerrassonLavilledieuChavagnac,doûs,45.0893470360968,1.37423896197272
MontignacLeMoustier,doûs,44.9938305,1.0589872
MussidanSaintLaurentdesHommes,doûs,45.0369822,0.2539172
SaintAstierJaure,doü,45.0563545,0.5538534
NontronConnezac,doü,45.51201,0.52903
ThenonBars,doū,45.0999478,1.0633322
