37-limo-1246	22	. 	Alors 						soun 	paï 			dissé 		à 		sous 	serviteurs						: 								"Portas
            "						proumptament 					la 	pus 	bellô 	raübô 		qué 			siô	dis 	mô 	maigeou 		et 		l’	n’en 	"révétirés
            "								et 				méttés 		ly 		un 	anéü 				au 		dé 			et 				daus 	souliers 	à 		soûs 	pés				.
38-auve-1239	22	. 	Alor 						le 	payre			digué 		meï 		saon 	valei 						: 								Pourta 		ly 				vite 					"la
            "	pu 	belo 	raubo 										et 				billa 				le			, 					bouta	-	ly 		eina 	baguô 				a 	son 	de 			et 				daou 	sautabey	"au
            "			pé				.
39-lang-1309	22	. 	Mais 						lou 	paire 			diguet 		o 		sous 	doum’stics 						: 								Pourtat 						"biste
            "					lo 	pe 	gionto 	raoubo 										et 				hobilial 				lou			, 					metel	-	li 		un 	onel 				ol 		det 			et 				de 	souliés 	"os
            "			pés				.
40-lang-1309	22	. 	Mès 						lou 	pèro	, 		diguèt 		o 		sous	doumestiques 						: 								Pourtas 		"li
            "				bîte 	so 		primiero 					raoubo 										et 				bestissez		lo		li 			, 					mettèz 		li 		un 	onèl 				ol 		det 			è 				des 	"souliés
            "	os 			pès				.
41-lang-1309	22	. 	Mes 						lou 	païre 			diguec 		à 		sous 	baylets 						: 		anen	, 				"bista
            "	pourtas 		ye 									lou 	pus 	poulit	abillomen 										é 				bestissés 				lou			;					mettés 		y 		un 	anel 				al 		det 			"e
            "				de 	souliès 	as 			pes				.
42-limo-1246	22	. 							Lou 	pay 			dissut 		à 		sous 	beyletz 						: 								Pourté 						biste 					ma 	pubére 		raoube 														bestissé 				lou 				é 				baillé 		ly 		un 	annet 				aou 		"dit
            "			é 				des 	souliés 	os 			pès				.
43-gasc-1240	22	. 							Lou 	pay 		que 	digouc 		a 		sous 	baylets 						: 							Biste, biste	pourtat 											la 	"pu
            "	bello 	raoubo 										é 				boutais 				l’	oc 		; 					boutats 		lou 		la 	bago 				aou 		dit		, 	"é
            "	caoussats 		lou										.
44-lang-1309	22	. 	Més 						le 	paire 			diguec 		à 		sous 	bailets 						: 								Pourtax 						bite 	sa 		pruméro 					raoubo 										é 				cargax 				lo-	i		, 					mettex 				une 	bago 				à 	sa 	ma 			é 				de 	souliés 	à 		sous 	pés				.
45-lang-1309	22	. 	Mez 						el 	pay 			dizec 		à 		sous 	baillets 						: 								Pourtach 						bite 	"era
            "		prumero 					raubo									, 					couvrichets 				l’	en		, 					metets 		yo 			bago 				à 	sa 	ma 			et 					caussuros 	à 		"sous
            "	pez				.
46-lang-1309	22	. 	Alabèts						lè 	payrè 			diguèc 		a 		sous 	domèsticos						: 								"Pourtats
            "						prouptomèn 	sa 		prumièro 					raoubo 										et 				mettets 				lo	y		, 	et 				mettels		y 		un 	anèl 				al 		"dit
            "			et 				dè 	souliès 	as 			pés				.
