64-prov-1235	31	.		Soun 		père 	yé 	digué				: 		Moun 	enfan									, 								siés 	toudzou 		amé 	ïéou 		"é
            "											n’	aï 		ren 	qué 	noun 		fugué 			à 	tu			.
65-viva-1235	31	.		Lou 		peré 	li 	rispondé 				: 		Moun 	enfan									, 								sis 	toujou 		"eoumé
            "	ieou	, 		tout 	ce 		qu’								aï 						es 				tieou			.
66-viva-1235	31	.		Soun 		péré 	li 	digué 				: 		Moun 	énfan	, 						per 	vous 									sias 	"toujeou
            "		enbé 	ieou	, 	é 											n’	aï 		rén 	qué 	noun 		siégué 				vouastré			.
67-viva-1235	31	.		Soun 		paire 	li 	digue 				: 		Mon 	fieou									, 						tu 		siés 	toujour’ 		"me
            "	ieou	, 	é 	tout 	ce 		qu’								ai 						es				tieou			.
69-viva-1235	31	.												Moun 	éfon	, 	li 	fogué 	lou 	péré				, 						vous 		siè 	toudzous 		"embé
            "	mi	, 	et 	tout 	cé 		qu’		èï 		mioounné 										ès 			o 	vous			.
70-viva-1235	31	.	Alors 	lou 		père 	ly 	dissec 				: « 		Moun 	garçou									, 						tu 		"sies
            "	toujours 		êmbe 	iou 		et 	tout 	ce 		que 								ai 										t’		apparten	.
71-fran-1269	31	.		Son 		père 	la 	ya det 				: 		Mon 	fils	, 						por 	vo 							vo z’		ète 	"todzor
            "		avoé 	mey 		é 	ye 										n’	ai 		rin 	qué 	ne 		sey 				voulro 			;
72-fran-1269	31	.		Le 	bon 	sègno 	lei 	di 	adan 			: 	Acuta			, 		fe						, 						té 		t’î 	adî 		"avu
            "	mè	, 		to 	san 		que 	l’	è 		mion	, 								l’	è 				tion			.
74-stan-1289	31	.	Llavors 	lo 		pare 	li 	digue 				: 			Fill									, 						tu 	sempre 	estas 			abmi			y 	tots 	mos 	bens 															sou 				tens			.
75-fran-1270	31	.	Et 	le 		paire 	l	ai déjà 				: 		Mon 	enfent 															t’		ai 	to dauton 		"avoué
            "	me 		et 	to 	cen 		que 						lié 								é 			à 	té			.
76-viva-1235	31	.												Mon 	fi	, 		dezai 	le 	pâre				, 						vos 		êtes 	tozzo 		avouai 	me	, 	é 	"to
            "	san 		que 						d’		é 						é 			à 	vo			.
77-viva-1235	31	.		Lou 		pèrë 	li 	disë 				: 		Moun 	ënfan									, 						vous 		sia 	toujours 		"ëmë
            "	ieou	, 	ët 	tout 	ce 		qu’								ai 						ës 			à 	vous			.
78-roma-1326	31	.	Ma 	il 		bap 		dschet 				: 			Filg 	! 														tü 		est 	saimper 		con 	mé	, 	"et
            "	luot 			cheau 								possed 						ais 				tieu			.
