52-lang-1309	19	. 													Mérité 	pas pus 			d			estré 	appelât 			bostre 	effan	, 		trata 										"me
            "															un 	de 		bostrés 		barlechs											.
53-lang-1309	19	. 									Sioï 		pas 	pus 	dinne 				que 		m’		agayou 	couma 		bostre 	éfan	",
            "		fasés de 										yeou 					couma 									d’	un 	de 		bostres 		barlets											.
54-lang-1309	19	. 	Et 								soui 		pas 	pus 	digné 				d’			estre 	appelat 			bostré 	fil	, 	"més
            "	tratas 										mé 			soulomen 		coum									d’	un 	dés 		bostrés 		mercenaris											.
55-lang-1309	19	. 	E 	ion 		ni 					souï 		pas 	pus 	digné 				d’			estrè 	appelat 			toun 	fil	".
            "		Tratto 															coumo 										un 	dé 	tous 			doumesticos											.
56-lang-1309	19	. 									Soui 		pas 	pus 	digne 				d’			estre 	apelat 			vostre 	fil 		mais 	"trata
            "										me 					couma 										un 	de 		vostrés 		barles											.
58-viva-1235	19	. 		Ieou 			pouirei 	geamaï 	m’	otendre 									d’			estro 	noumà			vostré 	garçou	, 		mena										me 					coumo 										un 	de 		vostrés 		messagés											.
59-viva-1235	19	. 		Ou 							sio 		pas 		dignou 				d’			eitre 	apela 			votre 	garçou	; 		prenais										me 					coume 													votre 		valets											.
60-prov-1235	19	. 									Souï 		pa 	pus 	dignë 				d			estre 	apela 			voste 	fil 	: 		trata 										"mé
            "					coumo 										un 	de 		vostei 		variés											.
61-prov-1235	19	. 									Sôuï 		pas 	pus 	dignë 				d’			ëstrë 	apela 			vostë 	filh 	: 		tratas 										"më
            "					coume 										ün 	de 		vostës 		varlës											.
62-prov-1235	19	. 													Meriti 	pas 			que 		m’		appelloun 			vouestre 	fiéou 			trattas 										"mi
            "					coumo 						fes 	à 						vouestreis 		varlets											.
63-prov-1235	19	. 	Are 								sieou 		plus 		digné				d’			estré 	nouma 			vouastré 	fieou 	";
            "		trata 										mi 					coumo 										un 	de 		vouastrei 		varlets											.
64-prov-1235	19	. 													Mérité 	plus 			d’			estré 	apéla 			vosté 	enfan	, 		trata 										mé 					"coume
            "										un 	dé 		vostei 		travaïadou											.
65-viva-1235	19	. 									Sieou 		plus 		digné 				d’			ésse 	appella 			vouasté 	enfan 	; 		prenès										mé 					coumme 										un 	dé 		vouastés 		manobros											.
66-viva-1235	19	. 									Sieou 		pas 		dini 		avuro 		d’			éssé 	apela 			vouaste 	garçoun 	";
            "		trata 										mé 					coum’										un 	dé 		vouaste 		variés											.
67-viva-1235	19	. 									"Sieou 
              "	"déjà
             "	plus 		digne 				que 		me 		digoun 			vouesté 	enfan	, 		trata 										mé 					coume 										un 	dé 		vouestéis 		journadiés											.
68-viva-1235	19	. 									Sioû 		pas 		dignet 				d’			etret 	apella 			votret 	garçon 	: 		faset de									"
            "	mi 					coumet 									d’	un 	de 		volrés 		valés											.
69-viva-1235	19	. 				Nén 									méritou 	plus 			d’			ètré 	oppéla 			votré 	éfon 	; 		trétè 										"mé
            "					coummò 										ùn 	doou 				valèï 	qu’	ové									.
70-viva-1235	19	. 									Siou 		plus 		digue 				d’			estre 	appella 			voueste 	garçon 	; 		"trata
            "										me 					couine 						feria 			d’	un 	de 		vouestes 		doumesliques											.
71-fran-1269	19	. 		Ye 		ne 					sey 		pas 		digno 		ora 		d’			être 	appèlò 			voutrom 	fi 	";
            "		fréta 										mey 					quemin 										yon 	de 		voutrom 		valets											.
72-fran-1269	19	. 				Ne 					su 		pagni 		mertan 	mé		, 	que 	vo 	mè 		diéssè 			voutren 	infan	",
            "		mètè 										mè 			pire 		avu 													voutrè 		garson 											!
73-fran-1270	19	. 	Ja 			no 					so 				digne 				de 			ser 	anomenat 				fill 	: 		tractau										me					com 							à 			un 	de 		vostres 		jornalers 											;
74-fran-1270	19	. 	Et 	il 		ne 					su 		pas 		digno 				qu’	on 	mé 		nommai 			ton 	valé 	; 		fa									-	"mé
            "					kemen 							à 			ion 	dé 		tés 		auvrai 											!
75-viva-1235	19	. 	De 			ne 					sai 		plié 		digne 				qu’	on 	m’		apelle 			voutron 	fi 	; 		"fassi avouai 
            "										me	,		to 		queman 				vo 		fassi 	avouai 			yon 	de 		voutron		valets											.
76-viva-1235	19	. 	Et 								sieou 		plus 		dignë 				d’			estrë 	appëla 			voustë 	ënfan 	;		trata 										me 					coume 									l’	un 	das 				serviteurs 	que 	sount 	à 		voustës 		gagis				.
77-roma-1326	19	. 				Ne 					sum 				püdeng 				d’			esser 	nomn 			tieu 	filg	; 		trattam 															sco 										ün 	"da
            "		tieus 		mercenaris 											!
78-roma-1326	19	. 	E 			nu 					sun 				deng 				da 			gnir 	nommà 			tees 	filg 	; 		fa 										mei 					scô 										"ün
            "	da 		tees 		lavureints 											!
79-lang-1309	19	. 	É 			noun 					soui 		pus 		dignë 				d’			estre 	apela 			voste 	fil 	; 		"tratas
            "										me 					coumo 										un 	das 				variés 	që 	soun 	à 		vostes 		gagës				.
81-prov-1235	19	. 		Je 		n’									mérite 	pus 			qu’	i 	m’		appellent 			voile 	fieu	, 		mettez									"-
            "	mei 					d’père 							aveuques 						vos 		domestiques											.
82-prov-1235	19	. 				Noun 					siéou 		pas 		digné 				d’			estre 	appellat 			vouestre 	fiéou 	";
            "		traitas 										mi 					coumo 										un 	de 		vouestreis 		varlets 	qu’	avés 	a 		vouestris		gagis				.
83-prov-1235	19	. 	É 	mi 		nou 									méritou 		cha 		d’			éssé 	noumaou 		rou 	vostrou 	"fillou
            "	: 		trataï 										mé 					coum’										un 	dri 		vostri 		valleti 	qui 	son 	à 	ri 	vostri 		gagi				.
