42-limo-1246	16	. 																																																			Aouré 				boulut 																	rempli 	soun 	bénte 					des 		gousses 						que 			"les
            "	porcs 	minghéoun 							é 				digun 						lez 	y 				bailléoue																					.
43-gasc-1240	16	. 																																																	Que 	s’					aoure 																	plëat 	lou 	bente 		dambe 	gran 	gay 	de 	las 	telos é peladuros            						que 			lous 	porcs 	minjaoüon 							é 				degun 			n’			eou 		ne 			daüo																					.
44-lang-1309	16	. 								É 																																															boulio 																s’	emplena 	l’	bentre 					de 	las 	clescos 						que 			les 	"pors
            "	manjabon 							é 				dégu 			nou 					in 			dounabo																					.
45-lang-1309	16	. 								Et 																																															déziraouo 													de 				rempli 	son 	bente	, 				de 		tecos 						qu’			ez 	"porcs
            "	mingeaüon						, 	més 				digue 			nou 			l’		yn 			daüo																					.
46-lang-1309	16	. 								Et 																																aquy 							èl 				serio 	èstat 		pla 	charmat 													de 				rampli 	"soun
            "	béntré					de	las	culèfos 						què 			lès 	porcs 	manjaboun						, 	mais 				digus 			nou 					n’in			dounabo																					.
47-lang-1309	16	. 								El 																																							el 								desirabo 													de 			se 	remplir 	le 	bentre 					des 		"peilloffes
            "						que 			les 	porcs 	mangeaben 							et 				digus 			nou 			l’	y 				dounabo																					.
48-lang-1309	16	. 								E 																																							el 								desirabo 													de 			se 	remplir 	le 	bentre 					des 		"peilloffes
            "						que 			les 	porcs 	mengeaben 							et 				digus 			nou 			l’	y 				dounabo																					.
49-cata-1291	16	. 								Y 																																															desitjaba 																	umplir 	so 	ventre 					de 	la 	pellofas 						que 			"los
            "	porcs 	menjavan						, 	y 				n’ingu						l’		in 			donava																					.
51-lang-1309	16	. 								Et 																																														auyo 	boulgùt 							poudé 										garni 	soun 	béntré 					dal 		farnât 	"qué
            "		dounaboun 						sous 	porcs 							; 	mais 				digus 						nou 					bouillo in dounà																					.
52-lang-1309	16	. 																																																							Desirabo 													de 				rampli 	soun 	bentré 					de 	las 	peloufos 						que 			"lous
            "	poucels 	mangeavou						, 	me 				degus 			nin 								dounabo 	pa 	gés																			.
53-lang-1309	16	. 								Et 																																											aurio 			pla 	aimat 													de 				rampli 	soun 	bentre 					de 	"los
            "	petoufos 						que 			lous 	porcs 	mangeabon						, 	et 				pressoune 			ny 					en 			dounabo 	pa 	gés																			.
54-lang-1309	16	. 								Ount 												et 	sé troubét 					taut 	mal 																						qué 						desirabo 																	rampli	soun 	bentré 					de 	las 	coulefos 						dont 			lous 	porcs 	se nourrissau						, 	me 				"digus
            "			non 			ly 		en 			dounabo																					.
55-lang-1309	16	. 								E 																																											aourio 			bè 	bougut 																si 	rassasia 	l’	estoumac 					de 		carrougeos 						che 			ilous 	pouors 	mangeabou 						; 	mè 				persouno 			noun 			l’		en 			dounabo																					.
56-lang-1309	16	. 																																																							désirava 	de 		sé 				poudré 										rempli 							de 	"las
            "	péloufas 						que 			lous 	pors 	mangeavou						, 	mais 				dégus 								ien 			dounava 	pas 	jés																			.
57-auve-1239	16	. 								Et 																																Aqui 											aviot 				envedge 																se 	couflar 				enbe 				les 	gates 						que 			"lou
            "	pouors 	mandjavon						, 	ma 				dengus 		gni 	n’					en 			beileve 		djis																			.
58-viva-1235	16	. 																																																			Aurio 			bé 	vougu 																sou 	ronpli 	lou 	ventré 					doau 		beouré 									"dos
            "	caïous							, 	me 				dengu 			n’					in 			clounavo																					.
59-viva-1235	16	. 								Ol 																																											oriotz 	eta 		biein 	counteint 													d’				eimplire 	soun 	veintre 					de 	lats 	plumailles 						qu’			iquelàhs 	pourchailles 	mengeaventz																																											.
